TECNIA INSTITUTE OF ADVANCED STUDIES,3 PSP INSTITUTIONAL AREA MADHUBAN CHOWK ROHINI NEW DELHI,NORTH WEST DELHI,Private-Self Financing
"RUKMINI DEVI INSTITUTE OF
ADVANCED STUDIES","2A & 2B, PHASE-I, MADHUBAN CHOWK,
ROHINI",NORTH WEST DELHI,"Private-Self
Financing"
INSTITUTE OF MARKETING AND MANAGEMENT - BUSINESS SCHOOL,"MARKETING TOWER, B-11 QUTAB
INSTITUTIONAL AREA, NEW DELHI - 110 016",NEW DELHI,Private-Self Financing
BABA HARIDASS COLLEGE OF PHARMACY & TECHNOLOGY,BABA HARIDASS ENCLAVE OPP.JHARODA KALAN HIGH SCHOOL NEW DELHI-110072,SOUTH WEST DELHI,Private-Self Financing
DSEU PUSA CAMPUS,"PUSA COMPLEX PUSA ROAD NEW DELHI-
110012",CENTRAL DELHI,Government
"INTERNATIONAL MANAGEMENT
INSTITUTE","B-10 QUTAB INSTITUTIONAL AREA TARA
CRESCENT NEW DELHI-110016",SOUTH DELHI,"Private-Self
Financing"
BANARSIDAS CHANDIWALA INSTITUTE OF INFORMATION TECHNOLOGY,CHANDIWALA ESTATE MAA ANAND MAI MARG KALKAJI NEW DELHI,SOUTH DELHI,Private-Self Financing
"MEERABAI DSEU MAHARANI BAGH
CAMPUS",MAHARANI BAGH,SOUTH DELHI,Government
"JAGANNATH INTERNATIONAL
MANAGEMENT SCHOOL","MOR, POCKET-105, KALKAJI, NEW DELHI-
110019",SOUTH DELHI,"Private-Self
Financing"
DSEU OKLHA-II CAMPUS,"CAMPUS -I WAZIRPUR INDUSTRIAL AREA, DELHI - 110 052 CAMPUS-II - SHRI MAA ANANDMAYI MARG, OKHLA INDUSTRIAL AREA, PHASE-II, NEW DELHI-110020.",CENTRAL DELHI,Government
"GURU NANAK DEV DSEU ROHINI
CAMPUS","SECTOR-15, ROHINI DELHI",NORTH WEST DELHI,Government
BANARSIDAS CHANDIWALA INSTITUTE OF PROFESSIONAL STUDIES,"PLOT NO 9, SECTOR 11, DWARKA, NEW DELHI 110075",NORTH WEST DELHI,Private-Self Financing
"ASIA-PACIFIC INSTITUTE OF
MANAGEMENT","3,4 INSTITUTIONAL AREA, JASOLA, NEW
DELHI-110025",SOUTH DELHI,"Private-Self
Financing"
INTERNATIONAL POLYTECHNIC FOR WOMEN,"CAMPUS-171-A, MAIN KHIRKI ROAD,
MALVIYA NAGAR CORP. OFFICE-A-3 ,RING ROAD ,SOUTH EXT-I",SOUTH DELHI,Private-Self Financing
"BHARATI VIDYAPEETH UNIVERSITY
INSTITUTE OF MANAGEMENT AND RESEARCH, NEW DELHI","A - 4, PASCHIM VIHAR, MAIN ROHTAK
ROAD, NEAR ORDINANCE DEPOT, NEW DELHI - 110063",NEW DELHI,Deemed to be University(Pvt)
"GURU TEGH BAHADUR INSTITUTE OF
TECHNOLOGY",G - 8 AREA RAJOURI GARDEN,NEW DELHI,"Private-Self
Financing"
"MAHARAJA SURAJMAL INSTITUTE OF
TECHNOLOGY",MSIT C-4 JANAKPURI NEW DELHI- 110058,NORTH WEST DELHI,"Private-Self
Financing"
FORE SCHOOL OF MANAGEMENT,"B-18, QUTAB INSTITUTIONAL AREA",NEW DELHI,"Private-Self
Financing"
GURU TEGH BAHADUR 4TH CENTENARY ENGINEERING COLLEGE,"GURU TEGH BAHADUR POLYTECHNIC
INSTITUTE, G-8 AREA, RAJOURI GARDEN, NEW DELHI-110027",SOUTH DELHI,Private-Self Financing
"INTERNATIONAL INSTITUTE OF HEALTH
MANAGEMENT RESEARCH","PLOT NO.3, POCKET HAF, SECTOR-18A,
PHASE-II, DWARKA",WEST DELHI,"Private-Self
Financing"
"MAHARAJA AGRASEN INSTITUTE OF
TECHNOLOGY","AGRASEN CHOWK, PSP AREA, PLOT NO. -
1, SECTOR - 22, ROHINI",WEST DELHI,"Private-Self
Financing"
"BHAGWAN PARSHURAM INSTITUTE OF
TECHNOLOGY","PSP AREA-4, SECTOR-17,(OPP. SEC-11),
ROHINI, DELHI-110089",NORTH DELHI,"Private-Self
Financing"
"ARYABHATT DSEU ASHOK VIHAR
CAMPUS","OPPOSITE SHAKTI NAGAR TELEPHONE
EXCHANGE, G. T. K. ROAD",NORTH DELHI,"State Government
University"
"UNIVERSITY POLYTECHNIC JAMIA
MILLIA ISLAMIA",MMAJ MARG JAMIA NAGAR NEW DELHI,SOUTH DELHI,Central University
DELHI SCHOOL OF BUSINESS,"AU BLOCK OUTER RING ROAD
PITAMPURA",NORTH WEST DELHI,"Private-Self
Financing"
"GURU NANAK INSTITUTE OF
MANAGEMENT","ROAD NO. 75, WEST PUNJABI BAGH",WEST DELHI,"Private-Self
Financing"
"APEEJAY INSTITUTE OF MASS
COMMUNICATION","APEEJAY CAMPUS, SECTOR-8,
INSTITUTIONAL AREA",SOUTH WEST DELHI,"Private-Self
Financing"
"JAGAN INSTITUTE OF MANAGEMENT
STUDIES TECHNICAL CAMPUS","3, INSTITUTIONAL AREA, SECTOR-5,
ROHINI",NORTH WEST DELHI,"Private-Self
Financing"
DELHI TECHNOLOGICAL UNIVERSITY,SHAHBAD DAULATPUR BAWANA ROAD,NORTH WEST DELHI,"State Government
University"
"VIVEKANANDA INSTITUTE OF
PROFESSIONAL STUDIES- TECHNICAL CAMPUS","AU BLOCK (OUTER RING ROAD), PITAMPURA, DELHI- 110088",NORTH DELHI,Private-Self Financing
MAHARAJA SURAJMAL INSTITUTE,"C-4, JANAKPURI",WEST DELHI,"Private-Self
Financing"
DSEU WAZIRPUR I CAMPUS,WAZIRPUR INDUSTRIAL AREA,NORTH WEST DELHI,"State Government
University"
INDRAPRASTHA INSTITUTE OF INFORMATION TECHNOLOGY DELHI,"INDRAPRASTHA INSTITUTE OF
INFORMATION TECHNOLOGY - DELHI (IIIT- DELHI) OKHLA INDUSTRIAL ESTATE,PHASE III (NEAR GOVIND PURI METRO STATION)",SOUTH DELHI,State Government University
"LAL BAHADUR SHASTRI INSTITUTE OF
MANAGEMENET, DELHI","PLOT NO. 7, SECTOR-11 DWARKA, NEW
DELHI",SOUTH WEST DELHI,"Private-Self
Financing"
KASTURBA DSEU PITAMPURA CAMPUS,MUNI MAYA RAM MARG,NORTH WEST DELHI,Government
"HMR INSTITUTE OF TECHNOLOGY AND
MANAGEMENT",PLOT NO.370&364 HAMIDPUR,NORTH WEST DELHI,"Private-Self
Financing"
"TERI SCHOOL OF ADVANCED STUDIES
DEEMED TO BE UNIVERSITY","10, INSTITUTIONAL AREA, VASANT KUNJ
NEW DELHI",SOUTH WEST DELHI,"Deemed to be
University(Pvt)"
APEEJAY INSTITUTE OF DESIGN,"54,TUGHLAKABAD INSTITUTIONAL
AREA,M B ROAD, NEW-DELHI",SOUTH DELHI,"Private-Self
Financing"
FOSTIIMA BUSINESS SCHOOL,"HAF-1, SECTOR-9,PHASE-I",WEST DELHI,"Private-Self
Financing"
COLLEGE OF ART,20-22 TILAK MARG,EAST DELHI,Government
INDIAN INSTITUTE OF FOREIGN TRADE,"B-21, QUTAB INSTITUTIONAL AREA",SOUTH DELHI,Government
"THE NATIONAL INSTITUTE OF HEALTH
AND FAMILY WELFARE","BABA GANG NATH MARG, MUNIRKA,
NEW DELHI - 110067",SOUTH WEST DELHI,Government
ALL INDIA MANAGEMENT ASSOCIATION,"15, LINK ROAD, LAJPAT NAGAR 3, NEW
DELHI-1100024",SOUTH DELHI,"Private-Self
Financing"
"AMBEDKAR DSEU SHAKARPUR CAMPUS
- I","OPP MADHUBAN SHAKARPUR DELHI-
110092",EAST DELHI,Government
"MAHARAJA AGRASEN BUSINESS
SCHOOL","PSP AREA, PLOT NO.1, SECTOR-22, ROHINI,",NORTH WEST DELHI,"Private-Self
Financing"
JAMIA HAMDARD,HAMDARD NAGAR,SOUTH DELHI,Govt aided
DSEU MAYUR VIHAR CAMPUS,"DSEU MAYUR VIHAR CAMPUS, NEAR HJ
BHABHA ITI, KOTLA ROAD, OPP SANJAY LAKE, MAYUR VIHAR PHASE 1",EAST DELHI,Government
G.B.PANT DSEU OKHLA I CAMPUS,"OKHKA INDUSTRIAL ESTATE PHASE III
NEW DELHI",SOUTH DELHI,Government
DSEU RANHOLA CAMPUS,"LAXMI PARK COLONY, KAMRUDDIN
NAGAR,",WEST DELHI,"State Government
University"
,,,
GOVERNMENT POLYTECHNIC DIGLIPUR,"MADHUPUR, DIGLIPUR",ANDAMANS,Government
